parameter,value,lower_bound,upper_bound,unit,status
HbA1c,4.43,4.0,5.6,%,Normal
HbA1c,4.47,4.0,5.6,%,Normal
HbA1c,4.62,4.0,5.6,%,Normal
HbA1c,4.11,4.0,5.6,%,Normal
HbA1c,4.54,4.0,5.6,%,Normal
HbA1c,4.38,4.0,5.6,%,Normal
HbA1c,4.55,4.0,5.6,%,Normal
HbA1c,4.25,4.0,5.6,%,Normal
HbA1c,5.36,4.0,5.6,%,Normal
HbA1c,4.93,4.0,5.6,%,Normal
HbA1c,5.06,4.0,5.6,%,Normal
HbA1c,5.22,4.0,5.6,%,Normal
HbA1c,4.8,4.0,5.6,%,Normal
HbA1c,4.21,4.0,5.6,%,Normal
HbA1c,4.85,4.0,5.6,%,Normal
HbA1c,4.93,4.0,5.6,%,Normal
HbA1c,5.15,4.0,5.6,%,Normal
HbA1c,4.7,4.0,5.6,%,Normal
HbA1c,4.26,4.0,5.6,%,Normal
HbA1c,4.49,4.0,5.6,%,Normal
HbA1c,4.6,4.0,5.6,%,Normal
HbA1c,5.01,4.0,5.6,%,Normal
HbA1c,4.9,4.0,5.6,%,Normal
HbA1c,4.59,4.0,5.6,%,Normal
HbA1c,5.5,4.0,5.6,%,Normal
HbA1c,4.95,4.0,5.6,%,Normal
HbA1c,4.42,4.0,5.6,%,Normal
HbA1c,4.23,4.0,5.6,%,Normal
HbA1c,4.3,4.0,5.6,%,Normal
HbA1c,4.43,4.0,5.6,%,Normal
HbA1c,4.31,4.0,5.6,%,Normal
HbA1c,4.35,4.0,5.6,%,Normal
HbA1c,4.49,4.0,5.6,%,Normal
HbA1c,4.33,4.0,5.6,%,Normal
HbA1c,5.37,4.0,5.6,%,Normal
HbA1c,4.2,4.0,5.6,%,Normal
HbA1c,4.84,4.0,5.6,%,Normal
HbA1c,4.67,4.0,5.6,%,Normal
HbA1c,5.49,4.0,5.6,%,Normal
HbA1c,4.24,4.0,5.6,%,Normal
HbA1c,4.65,4.0,5.6,%,Normal
HbA1c,5.48,4.0,5.6,%,Normal
HbA1c,5.33,4.0,5.6,%,Normal
HbA1c,5.68,4.0,5.6,%,Borderline
HbA1c,3.89,4.0,5.6,%,Borderline
HbA1c,5.78,4.0,5.6,%,Borderline
HbA1c,5.69,4.0,5.6,%,Borderline
HbA1c,5.66,4.0,5.6,%,Borderline
HbA1c,3.82,4.0,5.6,%,Borderline
HbA1c,5.68,4.0,5.6,%,Borderline
HbA1c,3.88,4.0,5.6,%,Borderline
HbA1c,3.87,4.0,5.6,%,Borderline
HbA1c,3.83,4.0,5.6,%,Borderline
HbA1c,5.62,4.0,5.6,%,Borderline
HbA1c,3.72,4.0,5.6,%,Borderline
HbA1c,4.0,4.0,5.6,%,Borderline
HbA1c,3.94,4.0,5.6,%,Borderline
HbA1c,3.9,4.0,5.6,%,Borderline
HbA1c,5.79,4.0,5.6,%,Borderline
HbA1c,3.81,4.0,5.6,%,Borderline
HbA1c,3.98,4.0,5.6,%,Borderline
HbA1c,5.91,4.0,5.6,%,Borderline
HbA1c,3.91,4.0,5.6,%,Borderline
HbA1c,5.66,4.0,5.6,%,Borderline
HbA1c,3.92,4.0,5.6,%,Borderline
HbA1c,5.87,4.0,5.6,%,Borderline
HbA1c,3.93,4.0,5.6,%,Borderline
HbA1c,3.73,4.0,5.6,%,Borderline
HbA1c,3.94,4.0,5.6,%,Borderline
HbA1c,5.77,4.0,5.6,%,Borderline
HbA1c,3.96,4.0,5.6,%,Borderline
HbA1c,3.94,4.0,5.6,%,Borderline
HbA1c,3.8,4.0,5.6,%,Borderline
HbA1c,3.78,4.0,5.6,%,Borderline
HbA1c,5.76,4.0,5.6,%,Borderline
HbA1c,3.97,4.0,5.6,%,Borderline
HbA1c,3.85,4.0,5.6,%,Borderline
HbA1c,5.8,4.0,5.6,%,Borderline
HbA1c,3.98,4.0,5.6,%,Borderline
HbA1c,5.71,4.0,5.6,%,Borderline
HbA1c,3.93,4.0,5.6,%,Borderline
HbA1c,5.77,4.0,5.6,%,Borderline
HbA1c,5.85,4.0,5.6,%,Borderline
HbA1c,3.78,4.0,5.6,%,Borderline
HbA1c,3.92,4.0,5.6,%,Borderline
HbA1c,3.86,4.0,5.6,%,Borderline
HbA1c,5.88,4.0,5.6,%,Borderline
HbA1c,3.94,4.0,5.6,%,Borderline
HbA1c,3.95,4.0,5.6,%,Borderline
HbA1c,3.81,4.0,5.6,%,Borderline
HbA1c,5.65,4.0,5.6,%,Borderline
HbA1c,3.91,4.0,5.6,%,Borderline
HbA1c,5.81,4.0,5.6,%,Borderline
HbA1c,6.45,4.0,5.6,%,Critical
HbA1c,3.15,4.0,5.6,%,Critical
HbA1c,3.59,4.0,5.6,%,Critical
HbA1c,6.31,4.0,5.6,%,Critical
HbA1c,3.62,4.0,5.6,%,Critical
HbA1c,3.34,4.0,5.6,%,Critical
HbA1c,6.51,4.0,5.6,%,Critical
HbA1c,3.56,4.0,5.6,%,Critical
HbA1c,6.47,4.0,5.6,%,Critical
HbA1c,6.81,4.0,5.6,%,Critical
HbA1c,6.08,4.0,5.6,%,Critical
HbA1c,6.51,4.0,5.6,%,Critical
HbA1c,3.46,4.0,5.6,%,Critical
HbA1c,6.81,4.0,5.6,%,Critical
HbA1c,2.97,4.0,5.6,%,Critical
HbA1c,6.73,4.0,5.6,%,Critical
HbA1c,3.6,4.0,5.6,%,Critical
HbA1c,6.43,4.0,5.6,%,Critical
HbA1c,6.31,4.0,5.6,%,Critical
HbA1c,3.14,4.0,5.6,%,Critical
HbA1c,5.94,4.0,5.6,%,Critical
HbA1c,3.19,4.0,5.6,%,Critical
HbA1c,6.8,4.0,5.6,%,Critical
HbA1c,3.15,4.0,5.6,%,Critical
HbA1c,6.36,4.0,5.6,%,Critical
HbA1c,3.23,4.0,5.6,%,Critical
HbA1c,3.02,4.0,5.6,%,Critical
HbA1c,3.21,4.0,5.6,%,Critical
HbA1c,6.28,4.0,5.6,%,Critical
HbA1c,6.53,4.0,5.6,%,Critical
Total Cholesterol,129.57,125.0,199.0,mg/dL,Normal
Total Cholesterol,172.89,125.0,199.0,mg/dL,Normal
Total Cholesterol,140.56,125.0,199.0,mg/dL,Normal
Total Cholesterol,192.71,125.0,199.0,mg/dL,Normal
Total Cholesterol,138.6,125.0,199.0,mg/dL,Normal
Total Cholesterol,156.31,125.0,199.0,mg/dL,Normal
Total Cholesterol,134.38,125.0,199.0,mg/dL,Normal
Total Cholesterol,195.09,125.0,199.0,mg/dL,Normal
Total Cholesterol,162.15,125.0,199.0,mg/dL,Normal
Total Cholesterol,168.35,125.0,199.0,mg/dL,Normal
Total Cholesterol,133.17,125.0,199.0,mg/dL,Normal
Total Cholesterol,178.65,125.0,199.0,mg/dL,Normal
Total Cholesterol,142.68,125.0,199.0,mg/dL,Normal
Total Cholesterol,188.51,125.0,199.0,mg/dL,Normal
Total Cholesterol,142.36,125.0,199.0,mg/dL,Normal
Total Cholesterol,141.4,125.0,199.0,mg/dL,Normal
Total Cholesterol,131.13,125.0,199.0,mg/dL,Normal
Total Cholesterol,160.14,125.0,199.0,mg/dL,Normal
Total Cholesterol,166.32,125.0,199.0,mg/dL,Normal
Total Cholesterol,133.08,125.0,199.0,mg/dL,Normal
Total Cholesterol,180.35,125.0,199.0,mg/dL,Normal
Total Cholesterol,158.89,125.0,199.0,mg/dL,Normal
Total Cholesterol,163.62,125.0,199.0,mg/dL,Normal
Total Cholesterol,158.05,125.0,199.0,mg/dL,Normal
Total Cholesterol,155.39,125.0,199.0,mg/dL,Normal
Total Cholesterol,165.97,125.0,199.0,mg/dL,Normal
Total Cholesterol,139.04,125.0,199.0,mg/dL,Normal
Total Cholesterol,140.82,125.0,199.0,mg/dL,Normal
Total Cholesterol,186.09,125.0,199.0,mg/dL,Normal
Total Cholesterol,191.71,125.0,199.0,mg/dL,Normal
Total Cholesterol,153.56,125.0,199.0,mg/dL,Normal
Total Cholesterol,146.73,125.0,199.0,mg/dL,Normal
Total Cholesterol,171.59,125.0,199.0,mg/dL,Normal
Total Cholesterol,155.92,125.0,199.0,mg/dL,Normal
Total Cholesterol,130.39,125.0,199.0,mg/dL,Normal
Total Cholesterol,139.1,125.0,199.0,mg/dL,Normal
Total Cholesterol,176.38,125.0,199.0,mg/dL,Normal
Total Cholesterol,172.58,125.0,199.0,mg/dL,Normal
Total Cholesterol,130.5,125.0,199.0,mg/dL,Normal
Total Cholesterol,143.48,125.0,199.0,mg/dL,Normal
Total Cholesterol,144.09,125.0,199.0,mg/dL,Normal
Total Cholesterol,173.45,125.0,199.0,mg/dL,Normal
Total Cholesterol,130.01,125.0,199.0,mg/dL,Normal
Total Cholesterol,135.63,125.0,199.0,mg/dL,Normal
Total Cholesterol,181.97,125.0,199.0,mg/dL,Normal
Total Cholesterol,140.59,125.0,199.0,mg/dL,Normal
Total Cholesterol,172.17,125.0,199.0,mg/dL,Normal
Total Cholesterol,144.56,125.0,199.0,mg/dL,Normal
Total Cholesterol,135.32,125.0,199.0,mg/dL,Normal
Total Cholesterol,144.9,125.0,199.0,mg/dL,Normal
Total Cholesterol,176.8,125.0,199.0,mg/dL,Normal
Total Cholesterol,185.69,125.0,199.0,mg/dL,Normal
Total Cholesterol,183.99,125.0,199.0,mg/dL,Normal
Total Cholesterol,155.15,125.0,199.0,mg/dL,Normal
Total Cholesterol,173.19,125.0,199.0,mg/dL,Normal
Total Cholesterol,142.35,125.0,199.0,mg/dL,Normal
Total Cholesterol,148.22,125.0,199.0,mg/dL,Normal
Total Cholesterol,188.4,125.0,199.0,mg/dL,Normal
Total Cholesterol,129.57,125.0,199.0,mg/dL,Normal
Total Cholesterol,134.39,125.0,199.0,mg/dL,Normal
Total Cholesterol,142.55,125.0,199.0,mg/dL,Normal
Total Cholesterol,130.47,125.0,199.0,mg/dL,Normal
Total Cholesterol,140.78,125.0,199.0,mg/dL,Normal
Total Cholesterol,167.53,125.0,199.0,mg/dL,Normal
Total Cholesterol,156.77,125.0,199.0,mg/dL,Normal
Total Cholesterol,188.15,125.0,199.0,mg/dL,Normal
Total Cholesterol,183.14,125.0,199.0,mg/dL,Normal
Total Cholesterol,151.47,125.0,199.0,mg/dL,Normal
Total Cholesterol,145.98,125.0,199.0,mg/dL,Normal
Total Cholesterol,153.99,125.0,199.0,mg/dL,Normal
Total Cholesterol,168.01,125.0,199.0,mg/dL,Normal
Total Cholesterol,146.55,125.0,199.0,mg/dL,Normal
Total Cholesterol,170.27,125.0,199.0,mg/dL,Normal
Total Cholesterol,155.97,125.0,199.0,mg/dL,Normal
Total Cholesterol,165.47,125.0,199.0,mg/dL,Normal
Total Cholesterol,157.75,125.0,199.0,mg/dL,Normal
Total Cholesterol,148.31,125.0,199.0,mg/dL,Normal
Total Cholesterol,191.87,125.0,199.0,mg/dL,Normal
Total Cholesterol,179.56,125.0,199.0,mg/dL,Normal
Total Cholesterol,138.03,125.0,199.0,mg/dL,Normal
Total Cholesterol,186.54,125.0,199.0,mg/dL,Normal
Total Cholesterol,161.16,125.0,199.0,mg/dL,Normal
Total Cholesterol,188.28,125.0,199.0,mg/dL,Normal
Total Cholesterol,181.97,125.0,199.0,mg/dL,Normal
Total Cholesterol,157.02,125.0,199.0,mg/dL,Normal
Total Cholesterol,130.2,125.0,199.0,mg/dL,Normal
Total Cholesterol,146.59,125.0,199.0,mg/dL,Normal
Total Cholesterol,164.77,125.0,199.0,mg/dL,Normal
Total Cholesterol,170.89,125.0,199.0,mg/dL,Normal
Total Cholesterol,145.88,125.0,199.0,mg/dL,Normal
Total Cholesterol,137.98,125.0,199.0,mg/dL,Normal
Total Cholesterol,184.31,125.0,199.0,mg/dL,Normal
Total Cholesterol,194.26,125.0,199.0,mg/dL,Normal
Total Cholesterol,163.71,125.0,199.0,mg/dL,Normal
Total Cholesterol,140.13,125.0,199.0,mg/dL,Normal
Total Cholesterol,146.84,125.0,199.0,mg/dL,Normal
Total Cholesterol,129.92,125.0,199.0,mg/dL,Normal
Total Cholesterol,189.59,125.0,199.0,mg/dL,Normal
Total Cholesterol,136.54,125.0,199.0,mg/dL,Normal
Total Cholesterol,167.1,125.0,199.0,mg/dL,Normal
Total Cholesterol,146.95,125.0,199.0,mg/dL,Normal
Total Cholesterol,165.61,125.0,199.0,mg/dL,Normal
Total Cholesterol,172.08,125.0,199.0,mg/dL,Normal
Total Cholesterol,183.96,125.0,199.0,mg/dL,Normal
Total Cholesterol,142.45,125.0,199.0,mg/dL,Normal
Total Cholesterol,129.43,125.0,199.0,mg/dL,Normal
Total Cholesterol,137.82,125.0,199.0,mg/dL,Normal
Total Cholesterol,188.64,125.0,199.0,mg/dL,Normal
Total Cholesterol,186.9,125.0,199.0,mg/dL,Normal
Total Cholesterol,168.49,125.0,199.0,mg/dL,Normal
Total Cholesterol,168.69,125.0,199.0,mg/dL,Normal
Total Cholesterol,172.99,125.0,199.0,mg/dL,Normal
Total Cholesterol,140.38,125.0,199.0,mg/dL,Normal
Total Cholesterol,189.6,125.0,199.0,mg/dL,Normal
Total Cholesterol,156.59,125.0,199.0,mg/dL,Normal
Total Cholesterol,154.22,125.0,199.0,mg/dL,Normal
Total Cholesterol,163.26,125.0,199.0,mg/dL,Normal
Total Cholesterol,131.83,125.0,199.0,mg/dL,Normal
Total Cholesterol,139.77,125.0,199.0,mg/dL,Normal
Total Cholesterol,177.85,125.0,199.0,mg/dL,Normal
Total Cholesterol,119.13,125.0,199.0,mg/dL,Borderline
Total Cholesterol,115.96,125.0,199.0,mg/dL,Borderline
Total Cholesterol,115.46,125.0,199.0,mg/dL,Borderline
Total Cholesterol,203.4,125.0,199.0,mg/dL,Borderline
Total Cholesterol,206.05,125.0,199.0,mg/dL,Borderline
Total Cholesterol,212.87,125.0,199.0,mg/dL,Borderline
Total Cholesterol,202.18,125.0,199.0,mg/dL,Borderline
Total Cholesterol,114.08,125.0,199.0,mg/dL,Borderline
Total Cholesterol,199.76,125.0,199.0,mg/dL,Borderline
Total Cholesterol,119.03,125.0,199.0,mg/dL,Borderline
Total Cholesterol,121.61,125.0,199.0,mg/dL,Borderline
Total Cholesterol,111.31,125.0,199.0,mg/dL,Borderline
Total Cholesterol,206.33,125.0,199.0,mg/dL,Borderline
Total Cholesterol,205.44,125.0,199.0,mg/dL,Borderline
Total Cholesterol,122.32,125.0,199.0,mg/dL,Borderline
Total Cholesterol,209.28,125.0,199.0,mg/dL,Borderline
Total Cholesterol,118.94,125.0,199.0,mg/dL,Borderline
Total Cholesterol,111.56,125.0,199.0,mg/dL,Borderline
Total Cholesterol,201.02,125.0,199.0,mg/dL,Borderline
Total Cholesterol,205.6,125.0,199.0,mg/dL,Borderline
Total Cholesterol,118.22,125.0,199.0,mg/dL,Borderline
Total Cholesterol,209.84,125.0,199.0,mg/dL,Borderline
Total Cholesterol,208.75,125.0,199.0,mg/dL,Borderline
Total Cholesterol,211.57,125.0,199.0,mg/dL,Borderline
Total Cholesterol,117.44,125.0,199.0,mg/dL,Borderline
Total Cholesterol,124.82,125.0,199.0,mg/dL,Borderline
Total Cholesterol,199.58,125.0,199.0,mg/dL,Borderline
Total Cholesterol,212.69,125.0,199.0,mg/dL,Borderline
Total Cholesterol,118.61,125.0,199.0,mg/dL,Borderline
Total Cholesterol,199.5,125.0,199.0,mg/dL,Borderline
Total Cholesterol,203.4,125.0,199.0,mg/dL,Borderline
Total Cholesterol,213.37,125.0,199.0,mg/dL,Borderline
Total Cholesterol,206.02,125.0,199.0,mg/dL,Borderline
Total Cholesterol,211.5,125.0,199.0,mg/dL,Borderline
Total Cholesterol,122.47,125.0,199.0,mg/dL,Borderline
Total Cholesterol,119.02,125.0,199.0,mg/dL,Borderline
Total Cholesterol,111.98,125.0,199.0,mg/dL,Borderline
Total Cholesterol,120.51,125.0,199.0,mg/dL,Borderline
Total Cholesterol,120.93,125.0,199.0,mg/dL,Borderline
Total Cholesterol,114.87,125.0,199.0,mg/dL,Borderline
Total Cholesterol,210.7,125.0,199.0,mg/dL,Borderline
Total Cholesterol,119.46,125.0,199.0,mg/dL,Borderline
Total Cholesterol,208.11,125.0,199.0,mg/dL,Borderline
Total Cholesterol,110.56,125.0,199.0,mg/dL,Borderline
Total Cholesterol,199.31,125.0,199.0,mg/dL,Borderline
Total Cholesterol,206.83,125.0,199.0,mg/dL,Borderline
Total Cholesterol,210.82,125.0,199.0,mg/dL,Borderline
Total Cholesterol,204.19,125.0,199.0,mg/dL,Borderline
Total Cholesterol,204.95,125.0,199.0,mg/dL,Borderline
Total Cholesterol,119.49,125.0,199.0,mg/dL,Borderline
Total Cholesterol,257.51,125.0,199.0,mg/dL,Critical
Total Cholesterol,232.78,125.0,199.0,mg/dL,Critical
Total Cholesterol,99.94,125.0,199.0,mg/dL,Critical
Total Cholesterol,77.21,125.0,199.0,mg/dL,Critical
Total Cholesterol,83.62,125.0,199.0,mg/dL,Critical
Total Cholesterol,81.67,125.0,199.0,mg/dL,Critical
Total Cholesterol,73.85,125.0,199.0,mg/dL,Critical
Total Cholesterol,233.22,125.0,199.0,mg/dL,Critical
Total Cholesterol,97.84,125.0,199.0,mg/dL,Critical
Total Cholesterol,107.65,125.0,199.0,mg/dL,Critical
Total Cholesterol,218.44,125.0,199.0,mg/dL,Critical
Total Cholesterol,105.08,125.0,199.0,mg/dL,Critical
Total Cholesterol,234.95,125.0,199.0,mg/dL,Critical
Total Cholesterol,221.83,125.0,199.0,mg/dL,Critical
Total Cholesterol,224.65,125.0,199.0,mg/dL,Critical
Total Cholesterol,242.9,125.0,199.0,mg/dL,Critical
Total Cholesterol,236.92,125.0,199.0,mg/dL,Critical
Total Cholesterol,79.6,125.0,199.0,mg/dL,Critical
Total Cholesterol,79.96,125.0,199.0,mg/dL,Critical
Total Cholesterol,229.83,125.0,199.0,mg/dL,Critical
Total Cholesterol,108.34,125.0,199.0,mg/dL,Critical
Total Cholesterol,255.05,125.0,199.0,mg/dL,Critical
Total Cholesterol,222.13,125.0,199.0,mg/dL,Critical
Total Cholesterol,100.69,125.0,199.0,mg/dL,Critical
Total Cholesterol,221.26,125.0,199.0,mg/dL,Critical
Total Cholesterol,224.34,125.0,199.0,mg/dL,Critical
Total Cholesterol,92.67,125.0,199.0,mg/dL,Critical
Total Cholesterol,239.87,125.0,199.0,mg/dL,Critical
Total Cholesterol,105.02,125.0,199.0,mg/dL,Critical
Total Cholesterol,77.9,125.0,199.0,mg/dL,Critical
LDL Cholesterol,91.64,50.0,99.0,mg/dL,Normal
LDL Cholesterol,94.59,50.0,99.0,mg/dL,Normal
LDL Cholesterol,90.47,50.0,99.0,mg/dL,Normal
LDL Cholesterol,88.15,50.0,99.0,mg/dL,Normal
LDL Cholesterol,81.35,50.0,99.0,mg/dL,Normal
LDL Cholesterol,76.74,50.0,99.0,mg/dL,Normal
LDL Cholesterol,56.29,50.0,99.0,mg/dL,Normal
LDL Cholesterol,70.46,50.0,99.0,mg/dL,Normal
LDL Cholesterol,68.89,50.0,99.0,mg/dL,Normal
LDL Cholesterol,63.91,50.0,99.0,mg/dL,Normal
LDL Cholesterol,84.35,50.0,99.0,mg/dL,Normal
LDL Cholesterol,74.32,50.0,99.0,mg/dL,Normal
LDL Cholesterol,56.02,50.0,99.0,mg/dL,Normal
LDL Cholesterol,62.16,50.0,99.0,mg/dL,Normal
LDL Cholesterol,82.58,50.0,99.0,mg/dL,Normal
LDL Cholesterol,55.81,50.0,99.0,mg/dL,Normal
LDL Cholesterol,89.99,50.0,99.0,mg/dL,Normal
LDL Cholesterol,74.29,50.0,99.0,mg/dL,Normal
LDL Cholesterol,73.64,50.0,99.0,mg/dL,Normal
LDL Cholesterol,78.58,50.0,99.0,mg/dL,Normal
LDL Cholesterol,88.82,50.0,99.0,mg/dL,Normal
LDL Cholesterol,67.79,50.0,99.0,mg/dL,Normal
LDL Cholesterol,82.35,50.0,99.0,mg/dL,Normal
LDL Cholesterol,77.4,50.0,99.0,mg/dL,Normal
LDL Cholesterol,64.23,50.0,99.0,mg/dL,Normal
LDL Cholesterol,91.2,50.0,99.0,mg/dL,Normal
LDL Cholesterol,87.62,50.0,99.0,mg/dL,Normal
LDL Cholesterol,81.49,50.0,99.0,mg/dL,Normal
LDL Cholesterol,89.96,50.0,99.0,mg/dL,Normal
LDL Cholesterol,90.7,50.0,99.0,mg/dL,Normal
LDL Cholesterol,83.69,50.0,99.0,mg/dL,Normal
LDL Cholesterol,89.36,50.0,99.0,mg/dL,Normal
LDL Cholesterol,83.21,50.0,99.0,mg/dL,Normal
LDL Cholesterol,82.44,50.0,99.0,mg/dL,Normal
LDL Cholesterol,79.73,50.0,99.0,mg/dL,Normal
LDL Cholesterol,85.64,50.0,99.0,mg/dL,Normal
LDL Cholesterol,59.44,50.0,99.0,mg/dL,Normal
LDL Cholesterol,91.3,50.0,99.0,mg/dL,Normal
LDL Cholesterol,90.9,50.0,99.0,mg/dL,Normal
LDL Cholesterol,53.74,50.0,99.0,mg/dL,Normal
LDL Cholesterol,88.87,50.0,99.0,mg/dL,Normal
LDL Cholesterol,58.13,50.0,99.0,mg/dL,Normal
LDL Cholesterol,67.23,50.0,99.0,mg/dL,Normal
LDL Cholesterol,85.24,50.0,99.0,mg/dL,Normal
LDL Cholesterol,59.54,50.0,99.0,mg/dL,Normal
LDL Cholesterol,88.52,50.0,99.0,mg/dL,Normal
LDL Cholesterol,89.15,50.0,99.0,mg/dL,Normal
LDL Cholesterol,74.83,50.0,99.0,mg/dL,Normal
LDL Cholesterol,52.73,50.0,99.0,mg/dL,Normal
LDL Cholesterol,65.11,50.0,99.0,mg/dL,Normal
LDL Cholesterol,79.66,50.0,99.0,mg/dL,Normal
LDL Cholesterol,95.72,50.0,99.0,mg/dL,Normal
LDL Cholesterol,80.31,50.0,99.0,mg/dL,Normal
LDL Cholesterol,63.91,50.0,99.0,mg/dL,Normal
LDL Cholesterol,80.41,50.0,99.0,mg/dL,Normal
LDL Cholesterol,76.26,50.0,99.0,mg/dL,Normal
LDL Cholesterol,86.84,50.0,99.0,mg/dL,Normal
LDL Cholesterol,57.17,50.0,99.0,mg/dL,Normal
LDL Cholesterol,86.01,50.0,99.0,mg/dL,Normal
LDL Cholesterol,76.32,50.0,99.0,mg/dL,Normal
LDL Cholesterol,94.92,50.0,99.0,mg/dL,Normal
LDL Cholesterol,67.53,50.0,99.0,mg/dL,Normal
LDL Cholesterol,80.35,50.0,99.0,mg/dL,Normal
LDL Cholesterol,93.55,50.0,99.0,mg/dL,Normal
LDL Cholesterol,56.97,50.0,99.0,mg/dL,Normal
LDL Cholesterol,93.78,50.0,99.0,mg/dL,Normal
LDL Cholesterol,82.79,50.0,99.0,mg/dL,Normal
LDL Cholesterol,55.44,50.0,99.0,mg/dL,Normal
LDL Cholesterol,65.72,50.0,99.0,mg/dL,Normal
LDL Cholesterol,83.68,50.0,99.0,mg/dL,Normal
LDL Cholesterol,55.42,50.0,99.0,mg/dL,Normal
LDL Cholesterol,78.12,50.0,99.0,mg/dL,Normal
LDL Cholesterol,67.7,50.0,99.0,mg/dL,Normal
LDL Cholesterol,79.83,50.0,99.0,mg/dL,Normal
LDL Cholesterol,54.47,50.0,99.0,mg/dL,Normal
LDL Cholesterol,90.88,50.0,99.0,mg/dL,Normal
LDL Cholesterol,95.38,50.0,99.0,mg/dL,Normal
LDL Cholesterol,95.18,50.0,99.0,mg/dL,Normal
LDL Cholesterol,85.51,50.0,99.0,mg/dL,Normal
LDL Cholesterol,58.19,50.0,99.0,mg/dL,Normal
LDL Cholesterol,85.89,50.0,99.0,mg/dL,Normal
LDL Cholesterol,53.53,50.0,99.0,mg/dL,Normal
LDL Cholesterol,53.43,50.0,99.0,mg/dL,Normal
LDL Cholesterol,66.72,50.0,99.0,mg/dL,Normal
LDL Cholesterol,74.0,50.0,99.0,mg/dL,Normal
LDL Cholesterol,86.42,50.0,99.0,mg/dL,Normal
LDL Cholesterol,82.58,50.0,99.0,mg/dL,Normal
LDL Cholesterol,72.11,50.0,99.0,mg/dL,Normal
LDL Cholesterol,64.52,50.0,99.0,mg/dL,Normal
LDL Cholesterol,96.42,50.0,99.0,mg/dL,Normal
LDL Cholesterol,71.24,50.0,99.0,mg/dL,Normal
LDL Cholesterol,72.36,50.0,99.0,mg/dL,Normal
LDL Cholesterol,59.67,50.0,99.0,mg/dL,Normal
LDL Cholesterol,87.5,50.0,99.0,mg/dL,Normal
LDL Cholesterol,83.04,50.0,99.0,mg/dL,Normal
LDL Cholesterol,62.19,50.0,99.0,mg/dL,Normal
LDL Cholesterol,56.08,50.0,99.0,mg/dL,Normal
LDL Cholesterol,82.46,50.0,99.0,mg/dL,Normal
LDL Cholesterol,81.31,50.0,99.0,mg/dL,Normal
LDL Cholesterol,64.5,50.0,99.0,mg/dL,Normal
LDL Cholesterol,94.38,50.0,99.0,mg/dL,Normal
LDL Cholesterol,59.11,50.0,99.0,mg/dL,Normal
LDL Cholesterol,71.52,50.0,99.0,mg/dL,Normal
LDL Cholesterol,94.06,50.0,99.0,mg/dL,Normal
LDL Cholesterol,70.96,50.0,99.0,mg/dL,Normal
LDL Cholesterol,80.61,50.0,99.0,mg/dL,Normal
LDL Cholesterol,69.98,50.0,99.0,mg/dL,Normal
LDL Cholesterol,64.54,50.0,99.0,mg/dL,Normal
LDL Cholesterol,95.84,50.0,99.0,mg/dL,Normal
LDL Cholesterol,70.5,50.0,99.0,mg/dL,Normal
LDL Cholesterol,91.88,50.0,99.0,mg/dL,Normal
LDL Cholesterol,62.59,50.0,99.0,mg/dL,Normal
LDL Cholesterol,61.85,50.0,99.0,mg/dL,Normal
LDL Cholesterol,53.82,50.0,99.0,mg/dL,Normal
LDL Cholesterol,81.19,50.0,99.0,mg/dL,Normal
LDL Cholesterol,68.7,50.0,99.0,mg/dL,Normal
LDL Cholesterol,90.57,50.0,99.0,mg/dL,Normal
LDL Cholesterol,73.32,50.0,99.0,mg/dL,Normal
LDL Cholesterol,95.15,50.0,99.0,mg/dL,Normal
LDL Cholesterol,60.63,50.0,99.0,mg/dL,Normal
LDL Cholesterol,106.61,50.0,99.0,mg/dL,Borderline
LDL Cholesterol,107.28,50.0,99.0,mg/dL,Borderline
LDL Cholesterol,105.14,50.0,99.0,mg/dL,Borderline
LDL Cholesterol,40.52,50.0,99.0,mg/dL,Borderline
LDL Cholesterol,105.04,50.0,99.0,mg/dL,Borderline
LDL Cholesterol,103.72,50.0,99.0,mg/dL,Borderline
LDL Cholesterol,41.43,50.0,99.0,mg/dL,Borderline
LDL Cholesterol,103.22,50.0,99.0,mg/dL,Borderline
LDL Cholesterol,45.02,50.0,99.0,mg/dL,Borderline
LDL Cholesterol,45.9,50.0,99.0,mg/dL,Borderline
LDL Cholesterol,48.02,50.0,99.0,mg/dL,Borderline
LDL Cholesterol,44.66,50.0,99.0,mg/dL,Borderline
LDL Cholesterol,40.91,50.0,99.0,mg/dL,Borderline
LDL Cholesterol,44.9,50.0,99.0,mg/dL,Borderline
LDL Cholesterol,101.86,50.0,99.0,mg/dL,Borderline
LDL Cholesterol,107.43,50.0,99.0,mg/dL,Borderline
LDL Cholesterol,99.39,50.0,99.0,mg/dL,Borderline
LDL Cholesterol,41.23,50.0,99.0,mg/dL,Borderline
LDL Cholesterol,49.87,50.0,99.0,mg/dL,Borderline
LDL Cholesterol,45.09,50.0,99.0,mg/dL,Borderline
LDL Cholesterol,105.88,50.0,99.0,mg/dL,Borderline
LDL Cholesterol,99.1,50.0,99.0,mg/dL,Borderline
LDL Cholesterol,45.27,50.0,99.0,mg/dL,Borderline
LDL Cholesterol,43.64,50.0,99.0,mg/dL,Borderline
LDL Cholesterol,40.97,50.0,99.0,mg/dL,Borderline
LDL Cholesterol,41.5,50.0,99.0,mg/dL,Borderline
